Information,Tag
Let's go to the beach,tower
I want something hot,hot
The kids want to go out for ice cream,hot
Is cold as ice,ice
The kids want to go out for ice cream,lolly
Give some sugar,sweet
Cookies for my soul,sweet
Chocolate bars are good,sweet
I am wet,tower
Let's go for some swimming,tower
Time to hit the waves,tower
I crave something spicy,hot
The kids are begging for pizza,hot
This tea is as cold as ice,ice
Let's get popsicles for the kids,lolly
Can you pass me the honey,sweet
Cupcakes are my weakness,sweet
Donuts are my guilty pleasure,sweet
Caught in the rain,tower
Let's dive into the pool,tower
Sunscreen is a must,hot
The oven is preheated,hot
The kids are clamoring for soup,hot
My heart feels icy,ice
How about gelato for dessert,lolly
I need a spoonful of honey,sweet
Brownies always hit the spot,sweet
Caramel popcorn is addictive,sweet
Soaked to the bone,tower
Swimming is refreshing,tower
The spices make it hot,hot
Craving some chili,hot
The kids are craving cocoa,hot
My drink is freezing cold,ice
Let's treat ourselves to snow cones,lolly
A dollop of whipped cream,sweet
Fudge is a delightful indulgence,sweet
My tea needs a bit of sugar,sweet
Caught in a downpour,tower
Splashing in the pool,tower
This salsa is too spicy,hot
A steaming cup of coffee,hot
The kids are asking for soup,hot
My hands feel like ice,ice
Let's grab some sorbet,lolly
A sprinkle of cinnamon,sweet
Pancakes with syrup,sweet
Tiramisu is irresistible,sweet
Drenched from head to toe,tower
Making a splash in the pool,tower
Spicy wings for dinner,hot
Feeling the heat,hot
The kids want hot cocoa,hot
My feet are like ice,ice
Let's have some sherbet,lolly
A spoonful of Nutella,sweet
Cotton candy at the fair,sweet
Indulging in candy,sweet
Caught in a sudden shower,tower
Swimming laps in the pool,tower
Chili peppers make it hot,hot
Craving jalapenos,hot
The kids want some ramen,hot
Chilled to the bone,ice
Let's get some gelato,lolly
Adding honey to my tea,sweet
S'mores by the campfire,sweet
Munching on gummy bears,sweet
Soaked from the rain,tower
Doing cannonballs in the pool,tower
Feeling the burn from spices,hot
Wanting some curry,hot
The kids fancy some soup,hot
My fingers are numb like ice,ice
Let's have some frozen yogurt,lolly
Drizzling honey over pancakes,sweet
Craving a slice of cake,sweet
Gobbling up candy bars,sweet
Drenched in the storm,tower
Making waves in the pool,tower
Feeling the kick of peppers,hot
Longing for hot sauce,hot
The kids are after some stew,hot
My toes are icy,ice
Let's enjoy some Italian ice,lolly
Spooning sugar into my coffee,sweet
Devouring a slice of pie,sweet
Nibbling on chocolate,sweet
Soaked from the rainstorm,tower
Splashing around in the pool,tower
Savoring the spiciness,hot
Craving some fiery salsa,hot
The kids want some chili,hot
Shivering like ice,ice
Let's grab some frozen custard,lolly
Pouring syrup over waffles,sweet
Enjoying a bowl of pudding,sweet
Snacking on candy canes,sweet
Drenched in a deluge,tower
Doing flips in the pool,tower
Feeling the heat of the peppers,hot
A touch of Sriracha,hot
The kids are hankering for stew,hot
My skin feels frosty,ice
Let's indulge in some frozen treats,lolly
Stirring sugar into my tea,sweet
Delighting in a slice of cheesecake,sweet
Munching on chocolate-covered almonds,sweet
Soggy from the rain,tower
Making a splash at the pool,tower
Feeling the warmth of the sun,hot
Craving a bowl of spicy noodles,hot
The kids want some hot soup,hot
My hands are like ice,ice
Let's get some frozen treats,lolly
Drizzling honey over my toast,sweet
Enjoying a slice of watermelon,sweet
Snacking on cotton candy,sweet
Soaked to the skin,tower
Splashing in the waves,tower
Feeling the heat of the spices,hot
A dash of hot sauce,hot
The kids are asking for hot chocolate,hot
My lips are cold as ice,ice
Let's grab some ice cream sandwiches,lolly
Adding sugar to my lemonade,sweet
Treating myself to a cupcake,sweet
